state_id,Total Voters,Absentee UOCAVA,Mail Votes,In Person Early Voting,Mail Votes in Vote-By-Mail Jurisdiction
01,2272911,0,126055,0,0
02,340981,9629,48744,92281,0
04,3477975,18449,2597974,349129,0
05,1122278,898,23843,810714,0
06,16164330,83937,0,878489,13062318
08,3240754,32234,0,109209,2957550
09,1820891,0,118362,715275,0
10,514367,1681,33659,210295,0
11,328871,5357,0,72914,168111
12,10999125,85692,2945893,5364821,0
13,5297500,17511,268751,3768395,0
15,522236,0,0,39158,483078
16,917469,2985,177211,225973,2566
17,5717147,18487,1016208,2001203,0
18,2986839,7629,1603815,1397345,0
19,1674011,0,0,0,0
20,1342102,5160,147276,557906,0
21,2086090,3078,116324,687057,0
22,2021588,4130,119694,849784,0
23,842447,6589,215242,157116,0
24,3028813,18727,744244,974945,0
25,3512930,24605,1173112,600225,0
26,5706503,21128,2017704,1214409,0
27,3271069,13428,328830,850705,117746
28,1225176,0,0,0,0
29,3126837,7604,178526,867936,0
30,612423,0,0,0,0
31,965145,2395,260899,80304,46236
32,1486297,11163,0,543461,656140
33,829090,5872,92945,0,0
34,4321921,22195,828200,0,0
35,927923,5775,111167,556395,360
36,8389626,50880,836987,2986704,0
37,5756106,32034,298269,4224909,0
38,371974,1540,89429,99007,0
39,5851625,17184,1060096,1536604,140
40,1573274,4215,98548,294037,0
41,2269608,16442,0,0,2253114
42,7074875,27854,1933707,0,0
44,522164,3409,51995,173547,0
45,2566404,8921,98782,1476843,0
46,435739,2542,159335,0,0
47,3090161,11092,86904,2132535,0
48,11488820,51704,384221,8703181,0
49,1466896,6116,0,36381,1341595
50,361604,2549,234038,2631,0
51,4511853,31987,474332,1840239,0
53,3949810,58682,0,171,3890945
54,769206,1618,22377,310305,0
55,3434185,12617,570657,977648,0
56,271123,1321,38217,76943,0
