state_id,total_votes_cast,uocava_accepted,mail_accepted,in_person_early,provisional_counted,dropbox_accepted,total_early,percent_in_person_early,percent_mail,percent_dropbox,percent_uocava,percent_provisional,percent_total_early
01,2272911,0,126055,0,13355,0,126055,0.0,5.55,0.0,0.0,0.59,5.55
02,340981,9629,48744,92281,15138,0,150654,27.06,14.3,0.0,2.82,4.44,44.18
04,3477975,18449,2597974,349129,49911,411280,3376832,10.04,74.7,11.83,0.53,1.44,97.09
05,1122278,898,23843,810714,7085,0,835455,72.24,2.12,0.0,0.08,0.63,74.44
06,16164330,83937,13062318,878489,327003,6200937,20225681,5.43,80.81,38.36,0.52,2.02,125.13
08,3240754,32234,2957550,109209,444,317337,3416330,3.37,91.26,9.79,0.99,0.01,105.42
09,1820891,0,118362,715275,73,0,833637,39.28,6.5,0.0,0.0,0.0,45.78
10,514367,1681,33659,210295,204,0,245635,40.88,6.54,0.0,0.33,0.04,47.75
11,328871,5357,168111,72914,1015,96610,342992,22.17,51.12,29.38,1.63,0.31,104.29
12,10999125,85692,2945893,5364821,22095,745254,9141660,48.77,26.78,6.78,0.78,0.2,83.11
13,5297500,17511,268751,3768395,7950,0,4054657,71.14,5.07,0.0,0.33,0.15,76.54
15,522236,0,483078,39158,0,190545,712781,7.5,92.5,36.49,0.0,0.0,136.49
16,917469,2985,179777,225973,0,0,408735,24.63,19.59,0.0,0.33,0.0,44.55
17,5717147,18487,1016208,2001203,13634,156532,3192430,35.0,17.77,2.74,0.32,0.24,55.84
18,2986839,7629,1603815,1397345,6280,0,3008789,46.78,53.7,0.0,0.26,0.21,100.73
19,1674011,0,0,0,1315,0,0,0.0,0.0,0.0,0.0,0.08,0.0
20,1342102,5160,147276,557906,43059,59925,770267,41.57,10.97,4.47,0.38,3.21,57.39
21,2086090,3078,116324,687057,210,49258,855717,32.94,5.58,2.36,0.15,0.01,41.02
22,2021588,4130,119694,849784,3926,0,973608,42.04,5.92,0.0,0.2,0.19,48.16
23,835858,0,215242,157116,128,0,372358,18.8,25.75,0.0,0.0,0.02,44.55
24,3028813,18727,744244,974945,150002,363317,2101233,32.19,24.57,12.0,0.62,4.95,69.37
25,3512930,24605,1173112,600225,5105,0,1797942,17.09,33.39,0.0,0.7,0.15,51.18
26,5706503,21128,2017704,1214409,140,0,3253241,21.28,35.36,0.0,0.37,0.0,57.01
27,3271069,13428,446576,850705,0,0,1310709,26.01,13.65,0.0,0.41,0.0,40.07
28,1225176,0,0,0,21421,0,0,0.0,0.0,0.0,0.0,1.75,0.0
29,3126837,7604,178526,867936,8554,0,1054066,27.76,5.71,0.0,0.24,0.27,33.71
30,612423,0,0,0,10636,0,0,0.0,0.0,0.0,0.0,1.74,0.0
31,965145,2395,307135,80304,15870,216022,605856,8.32,31.82,22.38,0.25,1.64,62.77
32,1486297,11163,656140,543461,30813,299601,1510365,36.56,44.15,20.16,0.75,2.07,101.62
33,829090,5872,92945,0,0,0,98817,0.0,11.21,0.0,0.71,0.0,11.92
34,4321921,22195,828200,0,130146,398300,1248695,0.0,19.16,9.22,0.51,3.01,28.89
35,927923,5775,111527,556395,2145,6533,680230,59.96,12.02,0.7,0.62,0.23,73.31
36,8389626,50880,836987,2986704,251783,0,3874571,35.6,9.98,0.0,0.61,3.0,46.18
37,5756106,32034,298269,4224909,65230,0,4555212,73.4,5.18,0.0,0.56,1.13,79.14
38,371974,1540,89429,99007,0,0,189976,26.62,24.04,0.0,0.41,0.0,51.07
39,5851625,17184,1060236,1536604,139051,181688,2795712,26.26,18.12,3.1,0.29,2.38,47.78
40,1573274,4215,98548,294037,4234,0,396800,18.69,6.26,0.0,0.27,0.27,25.22
41,2269608,16442,2253114,0,180,1484470,3754026,0.0,99.27,65.41,0.72,0.01,165.4
42,7074875,27854,1933707,0,98032,0,1961561,0.0,27.33,0.0,0.39,1.39,27.73
44,522164,3409,51995,173547,5308,21374,250325,33.24,9.96,4.09,0.65,1.02,47.94
45,2566404,8921,98782,1476843,6571,0,1584546,57.55,3.85,0.0,0.35,0.26,61.74
46,435739,2542,159335,0,406,0,161877,0.0,36.57,0.0,0.58,0.09,37.15
47,3090161,11092,86904,2132535,12715,0,2230531,69.01,2.81,0.0,0.36,0.41,72.18
48,11488820,51704,384221,8703181,66811,0,9139106,75.75,3.34,0.0,0.45,0.58,79.55
49,1466896,6116,1341595,36381,47272,1018405,2402497,2.48,91.46,69.43,0.42,3.22,163.78
50,361604,2549,234038,2631,0,0,239218,0.73,64.72,0.0,0.7,0.0,66.15
51,4511853,31987,474332,1840239,119249,94192,2440750,40.79,10.51,2.09,0.71,2.64,54.1
53,3949810,58682,3890945,171,120,2616566,6566364,0.0,98.51,66.25,1.49,0.0,166.25
54,769206,1618,22377,310305,7782,0,334300,40.34,2.91,0.0,0.21,1.01,43.46
55,3434185,12617,570657,977648,661,0,1560922,28.47,16.62,0.0,0.37,0.02,45.45
56,271123,1321,38217,76943,130,4968,121449,28.38,14.1,1.83,0.49,0.05,44.79
