state_id,Voter_Not_on_List,Voter_Lacked_ID,Election_Official_Challenged_Eligibility,Another_Person_Challenged_Eligibility,Voter_Not_Resident,Voter_Registration_Not_Updated,Voter_Did_Not_Surrender_Mail_Ballot,Judge_Extended_Voting_Hours,Voter_Used_SDR,Other Reasons
01,316,20,0,0,3686,1,0,0,0,0
02,0,0,0,0,0,0,0,0,0,0
04,26692,5854,263,26,882,4412,949,0,481,4283
05,5451,653,136,7,119,111,239,0,197,391
06,217113,50,240,0,17572,72757,5758,0,0,10597
08,0,0,0,0,0,0,0,0,0,444
09,0,0,0,0,0,0,0,0,0,0
10,204,0,0,0,0,0,0,0,0,0
11,93,756,36,0,0,0,109,0,21,0
12,12164,3240,2324,6,672,48,29,0,0,3498
13,4220,330,0,0,2957,0,0,27,0,415
15,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
17,1323,10,283,0,2267,2450,4046,0,0,1905
18,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
20,14639,868,0,0,16600,1715,3922,0,0,3580
21,161,8,4,0,6,8,8,0,1,14
22,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
24,64028,1494,0,4,0,12055,50325,50,20814,1232
25,515,0,0,0,0,2845,0,0,0,1745
26,140,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0
28,6428,365,0,0,3709,721,0,0,0,1864
29,4013,4541,0,0,0,0,0,0,0,0
30,536,34,0,0,0,0,0,0,1320,8746
31,3245,349,31,0,9454,1775,1016,0,0,0
32,831,2544,0,0,0,283,0,0,27143,12
33,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
36,37236,1135,0,0,5862,0,20763,0,0,0
37,37979,6892,0,0,6260,7191,0,5,0,6903
38,0,0,0,0,0,0,0,0,0,0
39,38020,7691,695,1,5660,55497,13280,0,73,17450
40,2842,1287,0,0,0,0,0,0,0,105
41,180,0,0,0,0,0,0,0,0,0
42,47002,809,0,530,0,0,48566,384,0,741
44,4684,317,37,0,0,0,261,0,0,9
45,650,255,1703,0,570,1536,0,0,0,1857
46,229,0,7,0,19,17,0,0,0,109
47,10393,593,181,0,653,0,895,0,0,0
48,48611,878,32,0,1625,1044,8429,0,740,5452
49,12100,346,45,0,495,764,0,0,11329,3550
50,0,0,0,0,0,0,0,0,0,0
51,5955,80,0,0,0,0,6730,11,103062,3411
53,0,0,0,0,0,0,0,0,0,0
54,3330,94,114,0,1300,1501,71,0,11,1361
55,0,521,0,0,0,0,0,0,0,140
56,0,45,0,0,8,0,0,0,0,77
