state_id,total_registered_voters,active_registered_voters,inactive_registered_voters
01,3868040.0,3466606.0,401434.0
02,611078.0,565242.0,45836.0
04,5075337.0,4366786.0,708551.0
05,1835723.0,1359659.0,476064.0
06,25720597.0,22836602.0,2883995.0
08,4583280.0,4074612.0,508668.0
09,2520650.0,2292818.0,227832.0
10,788441.0,742370.0,46071.0
11,612904.0,469969.0,142935.0
12,15740083.0,14028831.0,1708841.0
13,8234335.0,7174961.0,1059374.0
15,861333.0,765998.0,95335.0
16,1178750.0,1178750.0,0.0
17,8970541.0,8104485.0,817109.0
18,4840856.0,4288091.0,552765.0
19,2256774.0,2016967.0,239807.0
20,2031119.0,1871857.0,159262.0
21,3548136.0,3219361.0,328775.0
22,3046376.0,2734059.0,312317.0
23,1223468.0,1041826.0,181642.0
24,4555217.0,4231112.0,320634.0
25,5142343.0,4369280.0,773063.0
26,8440236.0,7267666.0,1172570.0
27,3853668.0,3853668.0,0.0
28,2131726.0,1965948.0,165778.0
29,4388787.0,4075977.0,312810.0
30,800573.0,691534.0,107822.0
31,1263487.0,1190813.0,72674.0
32,2256275.0,2052976.0,202810.0
33,1008952.0,1008603.0,0.0
34,6630364.0,6066940.0,563424.0
35,1415984.0,1254851.0,156424.0
36,13579416.0,12429981.0,1149435.0
37,7854464.0,6986365.0,853624.0
38,0.0,0.0,0.0
39,8074098.0,7054966.0,983368.0
40,2442211.0,2095952.0,346259.0
41,3060374.0,3060374.0,0.0
42,9175133.0,8407874.0,767259.0
44,792075.0,734885.0,57190.0
45,3851187.0,3417493.0,433694.0
46,690306.0,627248.0,63058.0
47,4825601.0,4458851.0,366750.0
48,18623931.0,16611078.0,2012853.0
49,2039862.0,1793182.0,246658.0
50,500986.0,460415.0,40571.0
51,6380686.0,5898922.0,481764.0
53,5597156.0,5013112.0,520000.0
54,1210415.0,1118468.0,91947.0
55,3933068.0,3933068.0,0.0
56,296960.0,296960.0,0.0
